Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193594,C1137.0000R,2024-03-28,2144.969999999999,171.9,90.6,39.8,3605.8799999999997,18.963,110398,154,0,0,0,56,0,0,0,0,0,2,5,0,10,0,0,0,0,0
193594,C1137.0000R,2024-03-29,2144.8799999999987,171.9,95.1,39.4,3746.9399999999996,19.744,115200,166,0,3,0,48,0,0,0,0,0,0,1,0,10,0,0,0,0,0
193594,C1137.0000R,2024-03-30,2144.969999999999,171.7,89.8,40.3,3618.9399999999996,18.91,110400,176,0,0,0,62,0,0,0,0,0,1,3,0,10,0,0,0,0,0
193594,C1137.0000R,2024-04-01,2147.9199999999983,172.1,92.1,39.2,3610.32,14.049,81998,216,0,0,1,60,0,0,0,0,0,11,6,0,34,0,0,0,0,0
193619,C0121.0000R,2024-04-04,2144.94,192.1,79.6,39.1,3112.3599999999997,23.172,120812,113,0,1,0,9,0,0,0,0,0,3,0,0,2,0,0,0,0,0
193619,C0121.0000R,2024-04-05,2132.429999999999,193.2,99.6,39.2,3904.32,23.387,121440,240,0,3,2,94,0,0,0,2,6,9,0,0,11,0,0,0,0,0
193619,C0121.0000R,2024-04-06,2132.069999999999,191.4,102.1,39.5,4032.95,24.446,126720,214,0,0,0,101,0,0,0,0,7,1,0,0,8,0,0,0,0,0
193619,C0121.0000R,2024-04-07,2131.0699999999997,193.0,103.6,39.6,4102.5599999999995,24.421,126722,191,0,0,1,85,0,0,0,0,8,2,4,0,4,0,0,0,0,0
193619,C0121.0000R,2024-04-08,2130.739999999999,193.2,102.8,38.9,3998.9199999999996,12.19,63298,205,0,0,0,64,0,0,1,0,3,7,1,0,0,0,0,0,0,0
193671,C0593.0000R,2024-04-08,2130.6499999999987,192.9,102.8,38.9,3998.9199999999996,8.055,41700,205,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0
